question,answer
Qual é a capital do Brasil?,Brasília
Em que região do Brasil está Brasília?,centro-oeste
Qual é o PIB per capita de Brasília em dólares americanos?,US $ 36.175
Quando foi fundada Brasília?,21 de abril de 1960
Qual é a população da área metropolitana de Brasília?,2.556.149
Quantas regiões administrativas o Distrito Federal possui?,31
Qual é a população da cidade de Brasília?,209.926
Em que consiste a área metropolitana de Brasília?,Distrito Federal
Que Copa do Mundo Brasília recebeu?,2014
Que Copa das Confederações recebeu Brasília?,2013
Quando Kubitschek se tornou presidente do Brasil?,1956
Quando Kubitschek deixou o cargo?,1961
Quem mandou que Brasília fosse construída?,Juscelino Kubitschek
Quantas pessoas competiram para ser o planejador urbano de Brasília?,5550
Quando foi inaugurada Brasília?,21 de abril de 1960
Quando o Brasil aprovou uma nova Constituição?,1988
Quais os direitos que Brasília conquistou em 1988?,eleger seu governador e uma assembleia distrital
Como é chamada a Assembleia Distrital de Brasília?,Câmara Legislativa
Que tipo de clima Brasília tem?,clima de savana tropical (Aw)
Quando é a estação chuvosa de Brasília?,Outubro a abril
Quando é a estação seca de Brasília?,Maio a setembro
Qual é a temperatura máxima média em Brasília em setembro?,"28,3 ° C (82,9 ° F)"
Em que mês Brasília tem a maior precipitação?,janeiro
Qual é a língua oficial do Brasil?,Português
Quais idiomas além do português são ensinados nas escolas de Brasília?,inglês e espanhol
Quantas escolas internacionais existem em Brasília?,seis
Quando uma nova escola internacional será aberta em Brasília?,Agosto de 2016
Qual nacionalidade será a nova escola internacional em Brasília?,britânico
Quem projetou a catedral de Brasília?,Oscar Niemeyer
Que tipo de estrutura é a Catedral de Brasília?,hiperbolóide de estrutura de concreto
Quando foi dedicada a Catedral de Brasília?,31 de maio de 1970
Quantas colunas idênticas são usadas na Catedral de Brasília?,16
Quanto pesam as colunas da Catedral de Brasília?,90 t
O que é no Palácio do Planalto?,escritórios presidenciais
"Onde vive o presidente do Brasil, em português?",Palácio da Alvorada
What does 'Palácio da Alvorada' mean?,Palácio do amanhecer
Quem projetou jardins para alguns dos principais edifícios de Brasília?,Roberto Burle Marx
Que estilo de jardins projetou Marx?,modernista
O que são superquadras ou superblocos?,"grupos de prédios de apartamentos junto com um número e tipo de escolas, lojas de varejo e espaços abertos"
Onde há uma península com casas de luxo?,o extremo norte do lago Paranoá
O que os planejadores queriam ter ao redor do lago Paranoa?,amplas áreas públicas
O que tomou as margens do Lago Paranoá ao contrário do plano?,"clubes privados, hotéis e residências e restaurantes de luxo"
Quais cidades não planejadas são em torno de Brasília?,"Gama, Ceilândia, Taguatinga, Núcleo Bandeirante, Sobradinho, and Planaltina"
Quem reclamou que Brasília era monótona?,Simone de Beauvoir
Qual nacionalidade foi de Beauvoir?,francês
Qual foi a carreira de Beauvoir?,escritor
Por que é famosa a Brasília?,sua culinária e eficiência do trânsito
Quais serviços são centrais para a economia de Brasília?,"governo, comunicações, bancos e finanças, produção de alimentos, entretenimento e serviços jurídicos"
Qual é a indústria de não serviços mais importante de Brasília?,construção
Quanto do PIB de Brasília é da Administração Pública?,"54,8%"
Quanto do PIB de Brasília é de Serviços?,"28,7%"
Quanto do PIB de Brasília é do agronegócio?,"0,2%"
O que é o PIB de Brasília?,99.5 billion reais
Quanto do PIB do Brasil vem de Brasília?,"3,76%"
Quais indústrias Brasília está tentando incentivar?,"software, filme, vídeo e gemologia"
Onde Brasília colocou hotéis?,Hotéis Setores Norte e Sul
Que tipos de restaurantes tem Brasília?,de pratos brasileiros locais e regionais a cozinha internacional
Que tipos de hotéis Brasília tem?,"de pousadas, pensões e albergues a grandes cadeias internacionais de hotéis"
Que lago tem alguns hotéis ao seu redor?,Lake Paranoá
Quando foi publicado &quot;O mundo em cinza&quot;?,2008
Quem escreveu &quot;O mundo em cinza&quot;?,Ryan J. Lucero
De quem é a profecia &#39;The World In Grey&#39;?,Dom Bosco
Quem é o santo padroeiro de Brasília?,Dom Bosco
Que lago Dom Bosco previu?,Paranoá Lake
What does 'Praça dos Três Poderes' mean?,Praça dos Três Poderes
What does the name 'Praça dos Três Poderes' come from?,os três ramos federais ao redor da praça
Como é chamada a Suprema Corte do Brasil?,Supremo Tribunal Federal
Who designed the Praça dos Três Poderes?,Lúcio Costa and Oscar Niemeyer
Como é chamado o Congresso do Brasil?,Congresso Nacional
Onde o presidente do Brasil mora?,Palácio da Alvorada
Com quais princípios de arquitetura o Alvorada foi projetado?,simplicidade e modernidade
Quão grande é a Alvorada?,7.000 m2
Quantos andares tem o Alvorada?,três
Quando a residência presidencial de Brasília foi aberta?,1958
Quantos andares tem o Planalto?,quatro
Quão grande é o Planalto?,36.000 m2
Onde estão os escritórios do presidente?,Palácio do Planalto
Quem projetou o Planalto?,Oscar Niemeyer
Onde estão os escritórios da VP?,Palácio do Planalto
Quando o aeroporto de Brasília adicionou uma segunda pista?,2006
Quantos passageiros passaram pelo aeroporto de Brasília em 2007?,"11,119,872"
Quantos cinemas estão no aeroporto de Brasília?,quatro
Quantos espaços de fornecedores estão no aeroporto de Brasília?,136
Quantas vagas de estacionamento existem no aeroporto de Brasília?,1.200
Quantas pontes de embarque tem o aeroporto de Brasília?,28
Quando o número de pontes de embarque no aeroporto de Brasília quase dobrou?,2014
Qual empresa agora administra o aeroporto de Brasília?,Grupo Inframerica
"Além de pontes de embarque, o que também dobrou em 2014 no aeroporto de Brasília?",o número de lugares de estacionamento
Qual é a capacidade anual de passageiros do aeroporto de Brasília após as melhorias de 2014?,21 milhões
Qual é o nome do apelido do JK Bridge?,The Juscelino Kubitschek bridge
O que a Ponte JK atravessa?,Lake Paranoá
Quem foi o nome da Ponte JK?,Juscelino Kubitschek de Oliveira
Who was de Oliveira?,ex-presidente do brasil
Quem projetou a Ponte JK?,architect Alexandre Chan and structural engineer Mário Vila Verde
What is the Rodoviária?,estação de onibus
"Em 2000, quantas pessoas moravam em Ceilândia?","344,039"
"Em 2000, quantas pessoas moravam em Taguatinga?",243.575
"Em 2000, quantas pessoas viviam no Plano Piloto?",aproximadamente 400.000
Quais áreas o transporte público de Brasília evita?,a maioria das áreas políticas e turísticas
Qual é a estação de ônibus interestadual mais antiga chamada?,Rodoferroviária
Em que shopping está a mais nova estação de ônibus de Brasília?,Parkshopping Mall
Onde o plano de Brasília queria que os ônibus interestaduais parassem?,Estação central
Onde fica a antiga estação rodoviária interestadual?,o extremo oeste do Eixo Monumental
Em que rua fica a mais nova estação de ônibus de Brasília?,Saída Sul
Que tipo de esportes são populares em Brasília?,esportes aéreos sem energia
O que o evento de esportes aéreos recebeu em Brasília em 2003?,o 14º Campeonato Mundial de Asa Delta
O que o evento de esportes aéreos recebeu em Brasília em 2005?,a 2ª etapa do Campeonato Brasileiro de Asa Delta
Por que Brasília é um bom lugar para esportes aéreos?,fortes ventos térmicos e grandes &quot;nuvens-ruas&quot;
